Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,1,0.15,1218,0.206,9,4,0.147,1,27,3,0,82,2,1,0.398,1,0.255,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3
34,0,0.15,419,0.138,7,4,0.147,1,28,1,1,53,3,3,0.025,2,0.255,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11
21,0,0.15,391,0.138,15,2,0.147,1,30,3,0,96,3,1,0.161,4,0.255,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0
34,1,0.15,699,0.138,6,1,0.136,1,31,2,0,83,3,1,0.161,1,0.255,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3
53,0,0.15,1282,0.138,5,3,0.134,1,32,3,1,58,3,5,0.049,3,0.101,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8
32,1,0.249,1125,0.138,16,1,0.147,1,33,2,1,72,1,1,0.161,1,0.255,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7
42,0,0.15,691,0.206,8,4,0.22,1,35,3,0,48,3,2,0.175,2,0.125,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2
44,0,0.15,477,0.138,7,4,0.136,1,36,1,1,42,2,3,0.069,4,0.125,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17
46,0,0.15,705,0.206,2,4,0.22,1,38,2,1,83,3,5,0.049,1,0.255,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1
33,0,0.15,924,0.138,2,3,0.136,1,39,3,0,78,3,1,0.239,4,0.255,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0
44,0,0.15,1459,0.138,10,4,0.134,1,40,4,0,41,3,2,0.069,4,0.125,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3
30,0,0.15,125,0.138,9,2,0.136,1,41,4,0,83,2,1,0.239,3,0.255,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8
39,1,0.15,895,0.206,5,3,0.242,1,42,4,0,56,3,2,0.398,4,0.125,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0
24,1,0.15,813,0.138,1,3,0.136,1,45,2,0,61,3,1,0.161,4,0.125,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0
43,0,0.15,1273,0.138,2,2,0.136,1,46,4,1,72,4,1,0.161,3,0.101,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4
50,1,0.15,869,0.206,3,2,0.22,1,47,1,0,86,2,1,0.398,3,0.125,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2
35,0,0.15,890,0.206,2,3,0.22,1,49,4,1,97,3,1,0.398,4,0.125,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2
36,0,0.15,852,0.138,5,4,0.147,1,51,2,1,82,2,1,0.161,1,0.125,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0
33,0,0.249,1141,0.206,1,3,0.147,1,52,3,1,42,4,2,0.175,1,0.125,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3
35,0,0.15,464,0.138,4,2,0.134,1,53,3,0,75,3,1,0.239,4,0.101,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0
27,0,0.15,1240,0.138,2,4,0.147,1,54,4,1,33,3,1,0.239,1,0.101,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0
26,1,0.15,1357,0.138,25,3,0.147,1,55,1,0,48,1,1,0.239,3,0.255,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1
27,0,0.249,994,0.206,8,3,0.147,1,56,4,0,37,3,3,0.175,3,0.255,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7
30,0,0.249,721,0.138,1,2,0.136,1,57,3,1,58,3,2,0.239,4,0.255,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7
41,1,0.15,1360,0.138,12,3,0.242,1,58,2,1,49,3,5,0.025,3,0.125,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8
34,0,0.08,1065,0.206,23,4,0.22,1,60,2,0,72,3,2,0.175,3,0.255,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7
37,0,0.15,408,0.138,19,2,0.147,1,61,2,0,73,3,1,0.161,2,0.125,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0
46,0,0.249,1211,0.206,5,4,0.22,1,62,1,0,98,3,2,0.175,4,0.255,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8
35,0,0.15,1229,0.138,8,1,0.147,1,63,4,0,36,4,1,0.239,4,0.125,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1
48,1,0.15,626,0.138,1,2,0.147,1,64,1,0,98,2,3,0.239,3,0.255,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0
28,1,0.15,1434,0.138,5,4,0.242,1,65,3,0,50,3,1,0.239,3,0.255,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2
44,0,0.15,1488,0.206,1,5,0.22,1,68,2,1,75,3,2,0.175,1,0.101,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3
35,0,0.08,1097,0.138,11,2,0.136,1,70,3,0,79,2,3,0.069,1,0.125,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3
26,0,0.15,1443,0.206,23,3,0.22,1,72,3,1,47,2,2,0.175,4,0.125,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0
33,0,0.249,515,0.138,1,2,0.147,1,73,1,1,98,3,3,0.025,4,0.255,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12
35,0,0.249,853,0.206,18,5,0.147,1,74,2,0,71,3,3,0.175,1,0.125,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8
35,0,0.15,1142,0.138,23,4,0.136,1,75,3,1,30,3,1,0.239,1,0.125,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2
31,0,0.15,655,0.138,7,4,0.147,1,76,4,0,48,3,2,0.239,4,0.101,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7
37,0,0.15,1115,0.138,1,4,0.147,1,77,1,0,51,2,2,0.069,3,0.101,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7
32,0,0.15,427,0.138,1,3,0.136,1,78,1,0,33,3,2,0.069,4,0.125,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8
38,0,0.249,653,0.138,29,5,0.147,1,79,4,1,50,3,2,0.239,4,0.255,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9
50,0,0.15,989,0.138,7,2,0.136,1,80,2,1,43,2,5,0.025,3,0.101,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8
59,0,0.15,1435,0.206,25,3,0.147,1,81,1,1,99,3,3,0.175,1,0.255,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9
36,0,0.15,1223,0.138,8,3,0.242,1,83,3,1,59,3,3,0.069,3,0.101,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8
55,0,0.15,836,0.138,8,3,0.136,1,84,4,1,33,3,4,0.049,3,0.101,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2
36,0,0.249,1195,0.138,11,3,0.147,1,85,2,0,95,2,2,0.069,2,0.255,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3
45,0,0.15,1339,0.138,7,3,0.147,1,86,2,0,59,3,3,0.161,1,0.101,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0
35,0,0.249,664,0.138,1,3,0.136,1,88,2,0,79,3,1,0.161,1,0.125,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2
36,1,0.15,318,0.138,9,3,0.136,1,90,4,0,79,2,1,0.161,3,0.125,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0
59,0,0.249,1225,0.206,1,1,0.147,1,91,1,1,57,2,2,0.175,3,0.255,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3
29,0,0.15,1328,0.138,2,3,0.147,1,94,3,0,76,3,1,0.161,2,0.125,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4
31,0,0.15,1082,0.138,1,4,0.136,1,95,3,0,87,3,1,0.161,2,0.255,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0
32,0,0.15,548,0.138,1,3,0.147,1,96,2,0,66,3,2,0.161,2,0.125,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9
36,0,0.15,132,0.138,6,3,0.147,1,97,2,1,55,4,1,0.239,4,0.125,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0
31,0,0.15,746,0.138,8,4,0.147,1,98,3,1,61,3,2,0.069,4,0.255,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8
35,0,0.15,776,0.206,1,4,0.22,1,100,3,0,32,2,2,0.175,1,0.255,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8
45,0,0.15,193,0.138,6,4,0.134,1,101,4,0,52,3,3,0.025,1,0.125,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0
37,0,0.15,397,0.138,7,4,0.136,1,102,1,0,30,3,3,0.025,3,0.255,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2
46,0,0.15,945,0.19,5,2,0.136,1,103,2,0,80,3,2,0.231,2,0.101,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2
30,0,0.15,852,0.138,1,1,0.147,1,104,4,0,55,2,2,0.239,4,0.125,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0
35,0,0.15,1214,0.138,1,3,0.136,1,105,2,0,30,2,1,0.161,3,0.255,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4
55,0,0.15,111,0.206,1,2,0.147,1,106,1,0,70,3,3,0.175,4,0.125,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0
38,0,0.08,573,0.138,6,3,0.136,1,107,2,1,79,1,2,0.161,4,0.101,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9
34,0,0.15,1153,0.138,1,2,0.136,1,110,1,0,94,3,2,0.069,2,0.125,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3
56,0,0.15,1400,0.138,7,3,0.147,1,112,4,0,49,1,3,0.069,4,0.255,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2
23,0,0.15,541,0.206,2,1,0.242,1,113,3,0,62,3,1,0.398,1,0.101,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0
51,0,0.15,432,0.138,9,4,0.147,1,116,4,0,96,3,1,0.239,4,0.125,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3
30,0,0.15,288,0.138,2,3,0.147,1,117,3,0,99,2,2,0.069,4,0.125,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8
46,1,0.15,669,0.206,9,2,0.136,1,118,3,0,64,2,3,0.175,4,0.255,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7
40,0,0.249,530,0.138,1,4,0.147,1,119,3,0,78,2,4,0.069,2,0.125,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11
51,0,0.15,632,0.206,21,4,0.22,1,120,3,0,71,3,2,0.175,4,0.255,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0
30,0,0.15,1334,0.206,4,2,0.136,1,121,3,1,63,2,2,0.175,2,0.101,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7
46,0,0.249,638,0.138,1,3,0.136,1,124,3,0,40,2,3,0.069,1,0.125,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5
32,0,0.15,1093,0.206,6,4,0.136,1,125,2,0,87,3,2,0.175,3,0.255,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7
54,0,0.15,1217,0.138,2,4,0.242,1,126,1,1,60,3,3,0.025,3,0.125,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3
24,0,0.15,1353,0.206,3,2,0.134,1,128,1,1,33,3,2,0.175,3,0.125,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2
28,0,0.08,120,0.206,4,3,0.136,1,129,2,0,43,3,2,0.175,3,0.125,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4
58,0,0.15,682,0.206,10,4,0.136,1,131,4,0,37,3,4,0.175,3,0.255,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8
44,0,0.08,489,0.138,23,3,0.136,1,132,2,0,67,3,2,0.239,2,0.125,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2
37,1,0.15,807,0.19,6,4,0.259,1,133,3,0,63,3,1,0.231,1,0.101,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2
32,0,0.15,827,0.138,1,1,0.147,1,134,4,0,71,3,1,0.161,1,0.255,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0
20,1,0.249,871,0.138,6,3,0.147,1,137,4,1,66,2,1,0.239,4,0.255,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0
34,0,0.15,665,0.138,6,4,0.134,1,138,1,1,41,3,2,0.161,3,0.255,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10
37,0,0.08,1040,0.138,2,2,0.147,1,139,3,0,100,2,2,0.069,4,0.101,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0
59,0,0.08,1420,0.19,2,4,0.259,1,140,3,1,32,2,5,0.049,4,0.125,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2
50,0,0.249,1115,0.138,1,3,0.147,1,141,1,1,73,3,5,0.025,2,0.125,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7
25,1,0.15,240,0.206,5,3,0.22,1,142,3,0,46,2,2,0.175,3,0.255,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3
25,0,0.15,1280,0.138,7,1,0.136,1,143,4,0,64,2,1,0.161,4,0.125,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1
22,0,0.15,534,0.138,15,3,0.136,1,144,2,1,59,3,1,0.239,4,0.255,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0
51,0,0.249,1456,0.138,1,4,0.136,1,145,1,1,30,2,3,0.069,1,0.255,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8
34,1,0.249,658,0.138,7,3,0.147,1,147,1,0,66,1,2,0.239,3,0.255,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6
54,0,0.08,142,0.19,26,3,0.259,1,148,4,1,30,4,4,0.049,4,0.255,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4
24,0,0.15,1127,0.138,18,1,0.147,1,150,2,0,52,3,1,0.239,3,0.125,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2
34,0,0.15,1031,0.138,6,4,0.147,1,151,3,1,45,2,2,0.161,2,0.101,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0
37,0,0.15,1189,0.206,3,3,0.147,1,152,3,0,87,3,3,0.175,4,0.255,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3
34,0,0.15,1354,0.138,5,3,0.136,1,153,3,1,45,2,3,0.049,1,0.255,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8
36,0,0.249,1467,0.206,11,2,0.242,1,154,2,1,92,3,3,0.175,4,0.125,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8
36,0,0.15,922,0.138,3,2,0.147,1,155,1,1,39,3,1,0.239,4,0.101,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0
43,0,0.249,394,0.206,26,2,0.147,1,158,3,0,92,3,4,0.049,4,0.125,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12
30,0,0.249,1312,0.138,23,3,0.147,1,159,1,0,96,1,1,0.161,3,0.101,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9
33,0,0.08,750,0.206,22,2,0.22,1,160,3,0,95,3,2,0.175,2,0.125,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7
56,1,0.15,441,0.138,14,4,0.147,1,161,2,1,72,3,1,0.161,2,0.125,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3
51,0,0.15,684,0.138,6,3,0.147,1,162,1,0,51,3,5,0.025,3,0.255,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15
31,1,0.15,249,0.206,6,4,0.147,1,163,2,0,76,1,2,0.175,3,0.125,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7
26,0,0.15,841,0.138,6,3,0.134,1,164,3,1,46,2,1,0.161,2,0.125,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3
58,1,0.15,147,0.138,23,4,0.136,1,165,4,1,94,3,3,0.069,4,0.125,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6
19,1,0.15,528,0.206,22,1,0.22,1,167,4,0,50,3,1,0.398,3,0.255,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0
22,0,0.15,594,0.138,2,1,0.242,1,169,3,0,100,3,1,0.239,4,0.125,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1
49,0,0.15,470,0.138,20,4,0.136,1,170,3,1,96,3,2,0.069,1,0.125,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11
43,0,0.249,957,0.138,28,3,0.136,1,171,2,1,72,4,1,0.161,3,0.255,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2
50,0,0.249,809,0.206,12,3,0.22,1,174,3,1,77,3,3,0.175,4,0.255,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1
31,1,0.15,542,0.206,20,3,0.147,1,175,2,1,71,1,2,0.175,3,0.125,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2
41,0,0.15,802,0.206,9,1,0.147,1,176,3,0,96,3,3,0.175,3,0.101,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7
26,0,0.15,1355,0.19,25,1,0.147,1,177,3,1,61,3,1,0.231,3,0.125,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7
36,0,0.15,216,0.138,6,2,0.136,1,178,2,0,84,3,2,0.069,2,0.101,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1
51,1,0.249,1150,0.138,8,4,0.147,1,179,1,0,53,1,3,0.069,4,0.255,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3
39,0,0.15,1329,0.206,4,4,0.147,1,182,4,1,47,2,2,0.175,3,0.125,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9
25,0,0.15,959,0.206,28,3,0.147,1,183,1,0,41,2,2,0.175,3,0.125,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2
30,0,0.15,1240,0.19,9,3,0.259,1,184,3,0,48,3,2,0.231,4,0.125,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7
32,1,0.15,1033,0.138,9,3,0.136,1,190,1,1,41,3,1,0.239,1,0.255,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4
45,0,0.15,1316,0.138,29,3,0.136,1,192,3,0,83,3,1,0.161,4,0.255,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3
38,0,0.15,364,0.138,3,5,0.242,1,193,4,1,32,3,2,0.161,3,0.255,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2
30,0,0.15,438,0.138,18,3,0.147,1,194,1,1,75,3,1,0.161,3,0.255,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4
32,0,0.249,689,0.206,9,2,0.136,1,195,4,0,35,1,2,0.175,4,0.101,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7
30,0,0.15,201,0.138,5,3,0.242,1,197,4,1,84,3,1,0.161,1,0.101,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2
30,0,0.15,1427,0.138,2,1,0.136,1,198,2,0,35,2,1,0.239,4,0.255,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2
41,0,0.249,857,0.138,10,3,0.147,1,199,4,0,91,2,4,0.049,1,0.101,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7
41,0,0.15,933,0.138,9,4,0.147,1,200,3,0,94,3,1,0.239,1,0.125,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4
19,0,0.15,1181,0.138,3,1,0.136,1,201,2,1,79,3,1,0.239,2,0.255,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0
40,0,0.249,1395,0.138,26,3,0.136,1,202,2,1,54,3,2,0.161,2,0.101,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13
35,0,0.15,662,0.206,1,5,0.22,1,204,3,0,94,3,3,0.175,2,0.125,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6
53,0,0.15,1436,0.206,6,2,0.22,1,205,2,0,34,3,2,0.398,3,0.125,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5
45,0,0.15,194,0.138,9,3,0.147,1,206,2,0,60,3,2,0.239,2,0.101,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15
32,0,0.249,967,0.206,8,3,0.22,1,207,2,1,43,3,3,0.175,4,0.255,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7
29,0,0.08,1496,0.138,1,1,0.242,1,208,4,0,41,3,2,0.069,3,0.125,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9
51,0,0.15,1169,0.138,7,4,0.136,1,211,2,0,34,2,2,0.069,3,0.125,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0
58,0,0.15,1145,0.138,9,3,0.136,1,214,2,1,75,2,1,0.161,2,0.125,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0
40,0,0.15,630,0.206,4,4,0.22,1,215,3,0,67,2,3,0.175,4,0.125,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11
34,0,0.249,303,0.206,2,4,0.22,1,216,3,1,75,3,1,0.398,3,0.125,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2
22,0,0.15,1256,0.138,19,1,0.136,1,217,3,0,80,3,1,0.161,4,0.125,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2
27,0,0.08,691,0.138,9,3,0.136,1,218,4,0,57,3,1,0.161,2,0.101,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2
28,0,0.15,440,0.138,21,3,0.136,1,221,3,0,42,3,1,0.161,4,0.125,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2
57,0,0.15,334,0.138,24,2,0.147,1,223,3,0,83,4,3,0.069,4,0.101,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4
27,0,0.08,1450,0.138,3,3,0.136,1,224,3,0,79,2,1,0.161,3,0.101,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1
50,0,0.15,1452,0.138,11,3,0.147,1,226,3,1,53,3,5,0.049,2,0.255,19926,17053,3,0,15,3,2,0,21,5,3,5,4,4,4
41,0,0.15,465,0.138,14,3,0.147,1,227,1,0,56,3,1,0.161,3,0.101,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8
30,0,0.15,1339,0.206,5,3,0.147,1,228,2,1,41,3,3,0.175,4,0.125,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4
38,0,0.15,702,0.206,1,4,0.147,1,230,1,1,59,2,2,0.175,4,0.255,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7
32,0,0.15,120,0.138,6,5,0.147,1,231,3,0,43,3,1,0.161,3,0.255,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4
27,0,0.15,1157,0.138,17,3,0.242,1,233,3,0,51,3,1,0.161,2,0.125,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1
